"p1_red","farm_red","pct_hunt","scenario","mean_prev","fadeout","hunt_label","scenario_label","p1_red_pct","farm_red_pct"
0.15,0.9,0.95,"spillover",0.0161375700571461,0.904,"eta[h]==0.95","Spillover",15,90
0.15,0.95,0.2,"spillover",0.0120934845046994,0.94,"eta[h]==0.20","Spillover",15,95
0.15,0.95,0.5,"spillover",0.0051032304857196,0.964,"eta[h]==0.50","Spillover",15,95
0.15,0.95,0.95,"spillover",0.00648923547437589,0.948,"eta[h]==0.95","Spillover",15,95
0.15,1,0.2,"spillover",0,1,"eta[h]==0.20","Spillover",15,100
0.15,1,0.5,"spillover",0,1,"eta[h]==0.50","Spillover",15,100
0.15,1,0.95,"spillover",0,1,"eta[h]==0.95","Spillover",15,100
0.2,0,0.2,"spillover",0.1872671409045,0.26,"eta[h]==0.20","Spillover",20,0
0.2,0,0.5,"spillover",0.155493951209456,0.248,"eta[h]==0.50","Spillover",20,0
0.2,0,0.95,"spillover",0.161752488088402,0.336,"eta[h]==0.95","Spillover",20,0
0.2,0.05,0.2,"spillover",0.158785045913704,0.324,"eta[h]==0.20","Spillover",20,5
0.2,0.05,0.5,"spillover",0.155002648309075,0.272,"eta[h]==0.50","Spillover",20,5
0.2,0.05,0.95,"spillover",0.187376508908198,0.3,"eta[h]==0.95","Spillover",20,5
0.2,0.1,0.2,"spillover",0.163046192883247,0.332,"eta[h]==0.20","Spillover",20,10
0.2,0.1,0.5,"spillover",0.153916022982914,0.336,"eta[h]==0.50","Spillover",20,10
0.2,0.1,0.95,"spillover",0.155658721763381,0.336,"eta[h]==0.95","Spillover",20,10
0.2,0.15,0.2,"spillover",0.162172602274492,0.3,"eta[h]==0.20","Spillover",20,15
0.2,0.15,0.5,"spillover",0.143046468108291,0.372,"eta[h]==0.50","Spillover",20,15
0.2,0.15,0.95,"spillover",0.163429692762249,0.332,"eta[h]==0.95","Spillover",20,15
0.2,0.2,0.2,"spillover",0.136280818065144,0.34,"eta[h]==0.20","Spillover",20,20
0.2,0.2,0.5,"spillover",0.138510785952412,0.364,"eta[h]==0.50","Spillover",20,20
0.2,0.2,0.95,"spillover",0.14204986717409,0.332,"eta[h]==0.95","Spillover",20,20
0.2,0.25,0.2,"spillover",0.139456484197195,0.424,"eta[h]==0.20","Spillover",20,25
0.2,0.25,0.5,"spillover",0.127526583620031,0.36,"eta[h]==0.50","Spillover",20,25
0.2,0.25,0.95,"spillover",0.122003990453082,0.452,"eta[h]==0.95","Spillover",20,25
0.2,0.3,0.2,"spillover",0.1193485674368,0.452,"eta[h]==0.20","Spillover",20,30
0.2,0.3,0.5,"spillover",0.125167534704825,0.42,"eta[h]==0.50","Spillover",20,30
0.2,0.3,0.95,"spillover",0.117323450476988,0.432,"eta[h]==0.95","Spillover",20,30
0.2,0.35,0.2,"spillover",0.124640129403669,0.4,"eta[h]==0.20","Spillover",20,35
0.2,0.35,0.5,"spillover",0.112797190311743,0.416,"eta[h]==0.50","Spillover",20,35
0.2,0.35,0.95,"spillover",0.107837467781047,0.4,"eta[h]==0.95","Spillover",20,35
0.2,0.4,0.2,"spillover",0.124565616449264,0.412,"eta[h]==0.20","Spillover",20,40
0.2,0.4,0.5,"spillover",0.106645695112637,0.548,"eta[h]==0.50","Spillover",20,40
0.2,0.4,0.95,"spillover",0.109516206307946,0.412,"eta[h]==0.95","Spillover",20,40
0.2,0.45,0.2,"spillover",0.102736785042862,0.488,"eta[h]==0.20","Spillover",20,45
0.2,0.45,0.5,"spillover",0.108585976297716,0.556,"eta[h]==0.50","Spillover",20,45
0.2,0.45,0.95,"spillover",0.0949005761499629,0.512,"eta[h]==0.95","Spillover",20,45
0.2,0.5,0.2,"spillover",0.102222311603379,0.532,"eta[h]==0.20","Spillover",20,50
