"p1_red","farm_red","pct_hunt","scenario","mean_prev","fadeout"
0.15,0.35,0.2,"spillover",9.08302979899023e-05,0.994
0.15,0.35,0.5,"spillover",7.00030998720292e-05,0.996
0.15,0.35,0.95,"spillover",8.50856300645971e-05,0.994
0.15,0.4,0.2,"spillover",5.9856443136383e-05,0.998
0.15,0.4,0.5,"spillover",5.88113679415269e-05,0.998
0.15,0.4,0.95,"spillover",6.34702432830846e-05,0.996
0.15,0.45,0.2,"spillover",7.96333787385763e-05,0.998
0.15,0.45,0.5,"spillover",6.80122599597962e-05,0.996
0.15,0.45,0.95,"spillover",6.51884821015898e-05,0.996
0.15,0.5,0.2,"spillover",6.46367745146991e-05,0.998
0.15,0.5,0.5,"spillover",3.69272157112865e-05,0.998
0.15,0.5,0.95,"spillover",6.93930985157129e-05,1
0.15,0.55,0.2,"spillover",4.80300647900043e-05,0.996
0.15,0.55,0.5,"spillover",4.2556509197615e-05,0.998
0.15,0.55,0.95,"spillover",5.35235954289447e-05,1
0.15,0.6,0.2,"spillover",3.2019654327375e-05,0.998
0.15,0.6,0.5,"spillover",6.43104550664866e-05,1
0.15,0.6,0.95,"spillover",3.77704894425061e-05,0.994
0.15,0.65,0.2,"spillover",5.32552546043997e-05,0.996
0.15,0.65,0.5,"spillover",7.02462966466168e-05,0.994
0.15,0.65,0.95,"spillover",5.44361006501637e-05,0.994
0.15,0.7,0.2,"spillover",3.13333874797301e-05,1
0.15,0.7,0.5,"spillover",3.24618433692544e-05,1
0.15,0.7,0.95,"spillover",3.17905777209479e-05,0.998
0.15,0.75,0.2,"spillover",5.26315789473684e-06,1
0.15,0.75,0.5,"spillover",1.58982682464235e-05,1
0.15,0.75,0.95,"spillover",2.14235785052081e-05,0.998
0.15,0.8,0.2,"spillover",3.74055251746761e-05,1
0.15,0.8,0.5,"spillover",4.80635851943219e-05,0.998
0.15,0.8,0.95,"spillover",2.6976440233027e-05,0.998
0.15,0.85,0.2,"spillover",2.12073842123599e-05,1
0.15,0.85,0.5,"spillover",5.43478260869565e-06,1
0.15,0.85,0.95,"spillover",1.05155522392185e-05,1
0.15,0.9,0.2,"spillover",1.10246383964162e-05,0.998
0.15,0.9,0.5,"spillover",2.71292155420327e-05,0.998
0.15,0.9,0.95,"spillover",1.08702876343093e-05,1
0.15,0.95,0.2,"spillover",1.62056593146869e-05,1
0.15,0.95,0.5,"spillover",5.64971751412429e-06,1
0.15,0.95,0.95,"spillover",0,1
0.15,1,0.2,"spillover",0,1
0.15,1,0.5,"spillover",0,1
0.15,1,0.95,"spillover",0,1
0.2,0,0.2,"spillover",8.45171835958368e-05,0.996
0.2,0,0.5,"spillover",0.000148472002967038,0.996
0.2,0,0.95,"spillover",0.000117417283655086,0.996
0.2,0.05,0.2,"spillover",0.000104780692760225,0.998
0.2,0.05,0.5,"spillover",0.000110558511812902,0.994
0.2,0.05,0.95,"spillover",6.38837506303747e-05,0.996
0.2,0.1,0.2,"spillover",0.000122729040248906,0.992
0.2,0.1,0.5,"spillover",0.000118240395647343,0.992
0.2,0.1,0.95,"spillover",9.61908021828412e-05,0.996
0.2,0.15,0.2,"spillover",0.000129378293589683,0.994
0.2,0.15,0.5,"spillover",9.63153535987478e-05,0.99
0.2,0.15,0.95,"spillover",9.53756226743661e-05,0.992
0.2,0.2,0.2,"spillover",6.47926396804687e-05,0.996
0.2,0.2,0.5,"spillover",0.000100970357622312,0.998
0.2,0.2,0.95,"spillover",0.000100992534735869,0.994
0.2,0.25,0.2,"spillover",8.64296593651886e-05,1
0.2,0.25,0.5,"spillover",4.35457014689227e-05,1
0.2,0.25,0.95,"spillover",8.50705584491012e-05,0.996
0.2,0.3,0.2,"spillover",6.27551429372908e-05,0.992
0.2,0.3,0.5,"spillover",4.8120536255305e-05,0.996
0.2,0.3,0.95,"spillover",9.12442643844216e-05,0.994
0.2,0.35,0.2,"spillover",5.91663847139235e-05,0.996
0.2,0.35,0.5,"spillover",9.58985843497332e-05,0.994
0.2,0.35,0.95,"spillover",3.76280410288932e-05,1
0.2,0.4,0.2,"spillover",9.11337760537608e-05,1
0.2,0.4,0.5,"spillover",8.00617860760517e-05,0.998
