"size","num_exp","fadeout"
450,1,0.631966804979253
450,2,0.438771784232365
450,3,0.243385892116183
450,4,0.150033195020747
450,5,0.120473029045643
450,6,0.0797178423236514
450,7,0.0474688796680498
450,8,0.0358008298755187
450,9,0.0232697095435685
450,10,0.0162572614107884
450,11,0.00476348547717842
450,12,0.00878838174273859
450,13,0.00334439834024896
450,14,0.00632365145228216
450,15,0.00466390041493776
450,16,0.0027551867219917
450,17,0.00140248962655602
450,18,0
450,19,0
450,20,0
450,21,0.00131120331950207
450,22,0
450,23,0
450,24,0
450,25,0
487.5,0,0.995850622406639
487.5,1,0.642771784232365
487.5,2,0.373045643153527
487.5,3,0.263858921161826
487.5,4,0.16146887966805
487.5,5,0.11253112033195
487.5,6,0.0779419087136929
487.5,7,0.043253112033195
487.5,8,0.034896265560166
487.5,9,0.0188796680497925
487.5,10,0.0113692946058091
487.5,11,0.00920331950207469
487.5,12,0.00749377593360996
487.5,13,0.0112780082987552
487.5,14,0.00294605809128631
487.5,15,0.00608298755186722
487.5,16,0
487.5,17,0.00141908713692946
487.5,18,0
487.5,19,0
487.5,20,0
487.5,21,0
487.5,22,0
487.5,23,0
487.5,24,0.00161825726141079
487.5,25,0
525,0,0.995850622406639
525,1,0.618348547717842
525,2,0.359311203319502
525,3,0.263452282157676
525,4,0.169535269709544
525,5,0.128663900414938
525,6,0.0759087136929461
525,7,0.0483485477178423
525,8,0.0234356846473029
525,9,0.0252946058091286
525,10,0.00818257261410788
525,11,0.0112282157676349
525,12,0.00462240663900415
525,13,0
525,14,0.00306224066390042
525,15,0.00153526970954357
525,16,0
525,17,0.00301244813278008
525,18,0
525,19,0
525,20,0
525,21,0
525,22,0
525,23,0
525,24,0
525,25,0
562.5,0,0.995850622406639
562.5,1,0.577278008298755
562.5,2,0.390605809128631
562.5,3,0.236630705394191
562.5,4,0.169161825726141
562.5,5,0.102954356846473
562.5,6,0.0911867219917012
562.5,7,0.0497676348547718
562.5,8,0.0273775933609958
562.5,9,0.0170705394190871
562.5,10,0.0157510373443983
562.5,11,0.0112448132780083
562.5,12,0.00588381742738589
562.5,13,0.0100331950207469
562.5,14,0.00141908713692946
562.5,15,0.00316182572614108
562.5,16,0.00127800829875519
562.5,17,0.00149377593360996
562.5,18,0.00160165975103734
562.5,19,0
562.5,20,0
562.5,21,0
562.5,22,0
562.5,23,0
562.5,24,0
562.5,25,0
600,0,0.995850622406639
600,1,0.622514522821577
600,2,0.379344398340249
600,3,0.273983402489627
600,4,0.183253112033195
600,5,0.0889045643153527
600,6,0.073045643153527
600,7,0.0585726141078838
600,8,0.0351203319502075
600,9,0.0236846473029046
600,10,0.0130124481327801
600,11,0.00463900414937759
600,12,0.00798340248962656
600,13,0.00684647302904564
600,14,0
600,15,0.00172614107883817
600,16,0.00161825726141079
600,17,0.00162655601659751
600,18,0
600,19,0
600,20,0
600,21,0
600,22,0
600,23,0.00150207468879668
600,24,0
600,25,0
637.5,0,0.995850622406639
637.5,1,0.611526970954357
637.5,2,0.395908713692946
637.5,3,0.238838174273859
637.5,4,0.183327800829876
637.5,5,0.112597510373444
637.5,6,0.0701244813278008
637.5,7,0.0421659751037344
637.5,8,0.0406804979253112
637.5,9,0.0199336099585062
637.5,10,0.0175435684647303
637.5,11,0.00796680497925311
637.5,12,0.00636514522821577
637.5,13,0.0113360995850622
637.5,14,0.00257261410788382
637.5,15,0.00149377593360996
637.5,16,0
637.5,17,0
637.5,18,0
637.5,19,0.00121991701244813
637.5,20,0
637.5,21,0
637.5,22,0
637.5,23,0.00150207468879668
637.5,24,0
637.5,25,0
675,0,0.995850622406639
675,1,0.632672199170125
675,2,0.406887966804979
675,3,0.27503734439834
675,4,0.167211618257261
675,5,0.108804979253112
675,6,0.0787302904564315
675,7,0.0406887966804979
675,8,0.0216763485477178
675,9,0.0264896265560166
675,10,0.0171369294605809
675,11,0.0030954356846473
675,12,0.00817427385892116
675,13,0
675,14,0.00289626556016598
675,15,0.00163485477178423
