"size","pct_hunt","prev_ratio","fadeout"
375,1,0.6257830569,0.008
400,0,0,0.012
400,0.05,0.0464139203333333,0.016
400,0.1,0.0966386430333333,0.008
400,0.15,0.141678866566667,0.012
400,0.2,0.179571498266667,0.012
400,0.25,0.216900706533333,0.006
400,0.3,0.260165510866667,0.008
400,0.35,0.291499448033333,0.018
400,0.4,0.324211600233333,0.008
400,0.45,0.3580450289,0.012
400,0.5,0.408916670566667,0.008
400,0.55,0.4188571914,0.014
400,0.6,0.452029234966667,0.004
400,0.65,0.4681018875,0.008
400,0.7,0.4899062929,0.004
400,0.75,0.5202618949,0.004
400,0.8,0.5422654978,0.004
400,0.85,0.573416724933333,0.01
400,0.9,0.573513075133333,0.018
400,0.95,0.6052561797,0.012
400,1,0.6280768287,0.022
425,0,0,0.002
425,0.05,0.0433259963333333,0.004
425,0.1,0.0951947588666667,0.004
425,0.15,0.139694045233333,0.006
425,0.2,0.177472074966667,0.006
425,0.25,0.213943985166667,0.008
425,0.3,0.258246516166667,0.004
425,0.35,0.2980925602,0.008
425,0.4,0.326049327966667,0.012
425,0.45,0.356835999133333,0.008
425,0.5,0.404798939133333,0.01
425,0.55,0.416174174933333,0.004
425,0.6,0.4351803835,0.014
425,0.65,0.4626076628,0.008
425,0.7,0.497342060633333,0.006
425,0.75,0.521082765466667,0.008
425,0.8,0.543214683966667,0.014
425,0.85,0.5593831036,0.012
425,0.9,0.5775088516,0.01
425,0.95,0.603968524133333,0.002
425,1,0.620222751166667,0.008
450,0,0,0.012
450,0.05,0.0480462783333333,0.008
450,0.1,0.0922978710666667,0.006
450,0.15,0.1384387757,0.004
450,0.2,0.179594809566667,0.012
450,0.25,0.224999298466667,0.006
450,0.3,0.254023599166667,0.006
450,0.35,0.297038345566667,0.002
450,0.4,0.321232339966667,0.004
450,0.45,0.360861805733333,0.002
450,0.5,0.385295717166667,0.006
450,0.55,0.4358414921,0.002
450,0.6,0.445104832733333,0.012
450,0.65,0.471494189233333,0.006
450,0.7,0.491746438466667,0.008
450,0.75,0.5172775327,0.01
450,0.8,0.540102411166667,0.008
450,0.85,0.5649376752,0.002
450,0.9,0.582065070533333,0.008
450,0.95,0.604550683766667,0.008
450,1,0.6321196303,0.012
475,0,0,0.012
475,0.05,0.048420227,0.002
475,0.1,0.0909167516666667,0.004
475,0.15,0.142818843,0.008
475,0.2,0.176138534833333,0.008
475,0.25,0.220613964933333,0.012
475,0.3,0.264066322833333,0.004
475,0.35,0.297090847733333,0.004
475,0.4,0.3261843184,0.006
475,0.45,0.3599221547,0.008
475,0.5,0.3928821067,0.004
475,0.55,0.411942317066667,0.01
475,0.6,0.4406711702,0.004
475,0.65,0.478888358966667,0.004
475,0.7,0.491824387166667,0.008
475,0.75,0.513463933433333,0.014
475,0.8,0.544589572066667,0.008
475,0.85,0.575999742766667,0.006
475,0.9,0.5852985634,0.002
475,0.95,0.611465317833333,0.002
475,1,0.626046856733333,0.008
500,0,0,0.002
500,0.05,0.0558515043333333,0.01
500,0.1,0.0935875715666667,0.006
500,0.15,0.1377235656,0.006
500,0.2,0.184388671566667,0.006
500,0.25,0.223686687,0.012
500,0.3,0.259589809,0.002
500,0.35,0.290058028933333,0.006
500,0.4,0.3336352759,0.008
500,0.45,0.3531648104,0.006
500,0.5,0.383664639733333,0.006
500,0.55,0.417880235266667,0.002
500,0.6,0.447614282066667,0.006
500,0.65,0.4696198193,NA
500,0.7,0.4903633745,0.006
500,0.75,0.5154818811,0.006
500,0.8,0.5392288317,0.006
500,0.85,0.561307792766667,0.004
500,0.9,0.587507984,0.002
500,0.95,0.604306031433333,0.01
500,1,0.621654381466667,0.004
525,0,0,NA
525,0.05,0.050990429,0.002
525,0.1,0.094571639,NA
525,0.15,0.1366687256,0.006
525,0.2,0.1842728507,NA
525,0.25,0.219470428433333,NA
525,0.3,0.258343709,0.002
525,0.35,0.2932633871,NA
525,0.4,0.323131144233333,0.006
525,0.45,0.368092473,NA
525,0.5,0.393908035233333,0.002
525,0.55,0.417772464966667,0.006
525,0.6,0.447601024666667,0.002
525,0.65,0.473269570566667,0.004
525,0.7,0.495238611,0.004
525,0.75,0.527659694333333,NA
525,0.8,0.545772701333333,0.002
525,0.85,0.5652828149,0.002
525,0.9,0.585301458533333,0.002
525,0.95,0.601931917133333,NA
525,1,0.6239960321,NA
550,0,0,NA
550,0.05,0.0461952726666667,0.004
550,0.1,0.0915537928333333,0.002
550,0.15,0.135567820666667,0.004
550,0.2,0.1815756091,0.004
550,0.25,0.217734774933333,NA
550,0.3,0.261035754833333,0.002
550,0.35,0.2945750337,0.002
550,0.4,0.3301535899,NA
550,0.45,0.362061665833333,NA
550,0.5,0.393416939566667,0.002
550,0.55,0.4235319363,0.006
550,0.6,0.447706110566667,NA
550,0.65,0.481423584,0.002
550,0.7,0.498330730966667,0.002
550,0.75,0.518179072433333,0.004
550,0.8,0.549605362433333,NA
550,0.85,0.573378467733333,0.006
550,0.9,0.588157299633333,0.002
550,0.95,0.6030611617,0.002
550,1,0.6218502555,0.002
575,0,0,NA
575,0.05,0.04770074,NA
575,0.1,0.0959427393333333,NA
575,0.15,0.134890088766667,NA
575,0.2,0.179839074266667,NA
575,0.25,0.2212378081,0.002
575,0.3,0.2615332543,NA
575,0.35,0.290824460466667,NA
575,0.4,0.325747807366667,0.004
575,0.45,0.354406415666667,NA
575,0.5,0.394309153333333,0.002
575,0.55,0.424590609166667,0.002
575,0.6,0.451394902633333,NA
575,0.65,0.475842974233333,0.002
575,0.7,0.493155152233333,0.004
575,0.75,0.5301368365,0.002
575,0.8,0.5434681581,0.002
575,0.85,0.5641521035,0.002
575,0.9,0.5959045804,0.002
575,0.95,0.607894799833333,0.004
575,1,0.6246777479,0.002
600,0,0,NA
600,0.05,0.046758874,0.004
600,0.1,0.0930312143333333,NA
